ticker,category,status,first_date,last_date,n_obs,years,pct_bdays_missing,median_dollar_vol_3y_musd,still_trading
AGG,bond,OK,2003-09-29,2026-07-07,5728,22.8,3.6,739.4,True
BND,bond,OK,2007-04-10,2026-07-07,4841,19.2,3.58,455.8,True
DBA,commodity,OK,2007-01-05,2026-07-07,4905,19.5,3.6,7.7,True
DBC,commodity,OK,2006-02-06,2026-07-07,5135,20.4,3.6,18.4,True
DIA,broad,OK,1998-01-20,2026-07-07,7159,28.5,3.6,1461.1,True
EEM,country,OK,2003-04-14,2026-07-07,5844,23.2,3.6,1180.1,True
EFA,country,OK,2001-08-27,2026-07-07,6250,24.9,3.65,1073.1,True
EMB,bond,OK,2007-12-19,2026-07-07,4664,18.5,3.64,500.8,True
EPI,country,OK,2008-02-26,2026-07-07,4619,18.4,3.59,34.1,True
EWA,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,46.0,True
EWC,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,76.0,True
EWG,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,49.9,True
EWH,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,47.1,True
EWJ,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,388.5,True
EWL,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,20.6,True
EWM,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,6.3,True
EWP,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,10.6,True
EWQ,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,13.1,True
EWS,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,9.8,True
EWT,country,OK,2000-06-23,2026-07-07,6546,26.0,3.64,154.6,True
EWU,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,53.7,True
EWW,country,OK,1996-03-18,2026-07-07,7624,30.3,3.58,108.0,True
EWY,country,OK,2000-05-12,2026-07-07,6575,26.2,3.63,226.9,True
EWZ,country,OK,2000-07-14,2026-07-07,6532,26.0,3.63,612.3,True
EZA,country,OK,2003-02-07,2026-07-07,5889,23.4,3.59,6.8,True
FXE,fx,OK,2005-12-12,2026-07-07,5172,20.6,3.63,5.9,True
FXI,country,OK,2004-10-08,2026-07-07,5469,21.7,3.6,1006.2,True
FXY,fx,OK,2007-02-13,2026-07-07,4879,19.4,3.6,8.9,True
GDX,sector,OK,2006-05-22,2026-07-07,5062,20.1,3.62,886.6,True
