,net
1999-12-21,0.0
1999-12-22,-0.0009999999999999998
1999-12-23,-0.003917613149411838
1999-12-27,-0.0056064268249281235
1999-12-28,0.009924035596564705
1999-12-29,0.007631008283621179
1999-12-30,-0.006795586892308003
1999-12-31,-0.0019939456128377185
2000-01-03,0.006022499165255908
2000-01-04,-0.00952381238837705
2000-01-05,-0.006636498077408331
2000-01-06,-0.01998113772462485
2000-01-07,-0.014505738023035434
2000-01-10,0.026737085847035207
2000-01-11,-0.006568594500754639
2000-01-12,-0.011062970981388469
2000-01-13,0.00030914421636711706
2000-01-14,-0.00037436531134034325
2000-01-18,0.010976054739226682
2000-01-19,-0.0028805359299040505
2000-01-20,-0.0011045986165203999
2000-01-21,0.009648374708401738
2000-01-24,-0.004676600003213669
2000-01-25,-0.002638830712984369
2000-01-26,-0.004921024420577376
2000-01-27,-0.00918292585920986
2000-01-28,-0.00020874933693138973
2000-01-31,0.0013994313388697942
2000-02-01,0.0032891786136316744
2000-02-02,0.012434112733859404
2000-02-03,0.00844214848170044
2000-02-04,0.01881903937806878
2000-02-07,0.001956417477149863
2000-02-08,-0.010893483768102556
2000-02-09,-0.000955950076919277
2000-02-10,0.015870881857108797
2000-02-11,0.003198269994619026
2000-02-14,0.004098874995014602
2000-02-15,-0.00445635315921163
2000-02-16,0.007284318850608918
2000-02-17,0.016782543981570593
2000-02-18,-0.009862142062886037
2000-02-22,-0.015341167249632139
2000-02-23,0.00752933454529316
2000-02-24,0.021964224838698657
2000-02-25,0.002585360843629497
2000-02-28,-0.01871311973825496
2000-02-29,0.008286113188506784
2000-03-01,0.007049230704252399
2000-03-02,0.006635937821616217
2000-03-03,0.0020178505840413217
2000-03-06,0.00794675524153409
2000-03-07,0.025425816000446303
2000-03-08,-0.0029213822283305187
2000-03-09,-0.00914317795953213
2000-03-10,0.003508786222973078
2000-03-13,-0.013238203292071937
2000-03-14,-0.008929174543893727
2000-03-15,-0.04282727382939445
2000-03-16,-0.020951792454296708
2000-03-17,0.0098639384222286
2000-03-20,-0.004539550372007938
2000-03-21,-0.0007397682225706112
2000-03-22,0.0077865706056846245
2000-03-23,0.0025136422985872517
2000-03-24,0.0025444529968733174
2000-03-27,0.00820714326518478
2000-03-28,-0.009571123758084265
2000-03-29,-0.017176463825822805
2000-03-30,-0.019299172941078694
2000-03-31,0.010620843678585717
2000-04-03,-0.04687847377427024
2000-04-04,-0.0109718287739919
2000-04-05,0.005298332938022322
2000-04-06,0.01270651787947921
2000-04-07,0.012830675162189711
2000-04-10,-0.03193267787636678
2000-04-11,-0.013681000973525976
2000-04-12,-0.01946843095566781
2000-04-13,-0.003061660511679234
2000-04-14,0.010800876133212156
2000-04-17,0.01818274359549953
2000-04-18,0.007863898635518438
2000-04-19,-0.01115329092504567
2000-04-20,-0.008901288112021897
2000-04-24,-0.017879518213203445
2000-04-25,0.013955657792306113
2000-04-26,0.0023443544491692993
2000-04-27,0.016334029754582598
2000-04-28,0.008076184274758542
2000-05-01,0.010652134587789085
2000-05-02,-0.022157200610250196
2000-05-03,-0.0013525432549821124
2000-05-04,0.013785699185135745
2000-05-05,0.009418589949985645
2000-05-08,-0.006647447297538718
2000-05-09,-0.012505628331095418
2000-05-10,-0.01499136907001304
2000-05-11,0.01677379216596833
2000-05-12,-0.00488600074431065
2000-05-15,0.008519922719724255
2000-05-16,0.0068058269998909305
2000-05-17,0.0087282189635772
2000-05-18,-0.006438898464383248
2000-05-19,-0.019061243681684114
2000-05-22,0.005092478997679134
2000-05-23,-0.03219794574031354
2000-05-24,0.013101622322195017
2000-05-25,0.004240849095404525
2000-05-26,2.9448325988320234e-05
2000-05-30,0.016498957718710835
2000-05-31,0.0006324287149828139
2000-06-01,0.012128374146441197
2000-06-02,-0.004501064640841097
2000-06-05,-0.0021062977909814475
2000-06-06,0.008807601298014887
2000-06-07,0.007039450149103143
2000-06-08,-0.0049712746856379175
2000-06-09,-0.0004914524095372994
2000-06-12,-0.0008945865813056798
2000-06-13,0.00931670122710501
2000-06-14,-0.011007434996711873
2000-06-15,0.0007867316986848414
2000-06-16,0.005854163185098139
2000-06-19,0.013143911923389482
2000-06-20,0.007773654860214951
2000-06-21,0.006786190904470073
2000-06-22,-0.014545892156607967
2000-06-23,-0.008297170033127696
2000-06-26,0.012567721646106374
2000-06-27,-0.02541003324227122
2000-06-28,0.004239399427753509
2000-06-29,-0.0005271632588286302
2000-06-30,-0.002766783552527362
2000-07-03,-0.014427135566247234
2000-07-05,-0.013541905276087216
2000-07-06,0.006561016175126221
2000-07-07,-0.007508675581728975
2000-07-10,-0.006977692409625551
2000-07-11,-0.007656368005687897
2000-07-12,0.002606607465800888
2000-07-13,0.00022567309842879898
2000-07-14,0.005169576273805593
2000-07-17,0.007970620182222382
2000-07-18,0.001600298937368023
2000-07-19,-0.004460588914933556
2000-07-20,0.008778420286195573
2000-07-21,-0.007106181118618047
2000-07-24,0.00017334536551642538
2000-07-25,0.004242245272295447
2000-07-26,0.0028756780304721383
2000-07-27,-0.011548326172479901
2000-07-28,-0.0029293741942522196
2000-07-31,0.00848158175363024
2000-08-01,-0.006118524378456224
2000-08-02,-0.0005597422360362639
2000-08-03,0.0012360556905116652
2000-08-04,0.002620981589082503
2000-08-07,-0.0022124921206412695
2000-08-08,-0.005065666629658654
2000-08-09,-0.007652564554735792
2000-08-10,0.006306609739711108
2000-08-11,-0.008286462398277926
2000-08-14,0.003641783762843418
2000-08-15,0.0044130935653193155
2000-08-16,0.010871402960463263
2000-08-17,0.00566612136780462
2000-08-18,-0.005526261586704155
2000-08-21,0.006073111407947932
2000-08-22,0.0003309254673787799
2000-08-23,0.0033374653592795397
2000-08-24,0.0003197334199815161
2000-08-25,-0.0028424301112046526
2000-08-28,0.003243571228994999
2000-08-29,0.0035390846056448664
2000-08-30,0.0023628553197306483
2000-08-31,0.009202982790521346
2000-09-01,-0.003933121823082477
2000-09-05,-0.003448008107792476
2000-09-06,-0.008261373943396728
2000-09-07,0.004403307819319341
2000-09-08,0.0069359554466260085
2000-09-11,0.014106101304751853
2000-09-12,-0.0016373081615361725
2000-09-13,0.0034080136864661124
2000-09-14,0.004303258242568868
2000-09-15,0.009022324812157206
2000-09-18,-0.009134678907078532
2000-09-19,0.011270319075615981
2000-09-20,0.0040743631555708185
2000-09-21,-0.01752234382807411
2000-09-22,-0.003104937599229458
2000-09-25,0.006581259360640721
2000-09-26,0.003800909170441478
2000-09-27,-0.0037939838852080027
2000-09-28,0.002208087036500691
2000-09-29,-0.0043290708157262825
2000-10-02,0.0031107896265650057
2000-10-03,-0.01916193894562423
2000-10-04,-0.005117348696706505
2000-10-05,0.008288502915483324
2000-10-06,-0.00653320042523748
2000-10-09,0.0034232658132266613
2000-10-10,-0.015266438149421135
2000-10-11,0.006448856499769294
2000-10-12,-0.005956372119960274
2000-10-13,0.01654756580786066
2000-10-16,0.00903217921092761
2000-10-17,-0.006343253658612606
2000-10-18,-0.0015833016168589505
2000-10-19,0.004876204963798149
2000-10-20,0.015503930477361058
2000-10-23,0.0010637503562508073
2000-10-24,-0.0192191961324183
