,net
1999-12-21,0.0
1999-12-22,-0.0009999999999999998
1999-12-23,-0.003917613149411838
1999-12-27,-0.0056064268249281235
1999-12-28,0.009924035596564705
1999-12-29,0.00764340043552396
1999-12-30,-0.006900377128526709
1999-12-31,-0.0019470624823806413
2000-01-03,0.005897198045952343
2000-01-04,-0.008814290417578162
2000-01-05,-0.006874602406880006
2000-01-06,-0.019875888921159327
2000-01-07,-0.0141938160421554
2000-01-10,0.02668657436270877
2000-01-11,-0.006681866410529499
2000-01-12,-0.010984948389933781
2000-01-13,0.0003095289864715542
2000-01-14,-0.0004739003337350704
2000-01-18,0.010854953611502221
2000-01-19,-0.0028780159606553585
2000-01-20,-0.0010875775457691692
2000-01-21,0.009638679551232788
2000-01-24,-0.00475691195092316
2000-01-25,-0.002578641254308686
2000-01-26,-0.005002327985400055
2000-01-27,-0.009181262887178342
2000-01-28,-0.00024989603587617605
2000-01-31,0.001411262745215774
2000-02-01,0.003281049980826983
2000-02-02,0.012454882256077065
2000-02-03,0.008868374433066335
2000-02-04,0.019127719118536717
2000-02-07,0.0020045151701350156
2000-02-08,-0.010716450800245534
2000-02-09,-0.0009133528809308659
2000-02-10,0.01583201362690932
2000-02-11,0.0031640883398797153
2000-02-14,0.004093725163254217
2000-02-15,-0.004430395845785083
2000-02-16,0.007279620119723741
2000-02-17,0.016800709723681816
2000-02-18,-0.009932455349409937
2000-02-22,-0.015140334736186157
2000-02-23,0.007546434566950232
2000-02-24,0.022107233557104877
2000-02-25,0.0025638155445813883
2000-02-28,-0.01895920866227707
2000-02-29,0.008190272035685776
2000-03-01,0.006716435891160042
2000-03-02,0.006492226454621589
2000-03-03,0.0018483540171362585
2000-03-06,0.008076329934873817
2000-03-07,0.025402938313601093
2000-03-08,-0.0029291253564817828
2000-03-09,-0.00916872486806996
2000-03-10,0.003589755395424156
2000-03-13,-0.013162864198440205
2000-03-14,-0.009013208930460741
2000-03-15,-0.04289030904485279
2000-03-16,-0.021542056751244074
2000-03-17,0.009927782495382072
2000-03-20,-0.004520662994100446
2000-03-21,-0.0008374297203849832
2000-03-22,0.00774174122379233
2000-03-23,0.002365329656036111
2000-03-24,0.0024988273754812007
2000-03-27,0.00830340989494716
2000-03-28,-0.00959498593020628
2000-03-29,-0.01709421792192801
2000-03-30,-0.019406818502787342
2000-03-31,0.010722677029353653
2000-04-03,-0.0470245727266039
2000-04-04,-0.011010518076065573
2000-04-05,0.005204299822092619
2000-04-06,0.012682655623931132
2000-04-07,0.012823937195141499
2000-04-10,-0.03191457605718075
2000-04-11,-0.01365891231267537
2000-04-12,-0.019434752299943153
2000-04-13,-0.00312033919547728
2000-04-14,0.010460837698091674
2000-04-17,0.018270600235244912
2000-04-18,0.007861175760483941
2000-04-19,-0.011204386218278127
2000-04-20,-0.00892914806936619
2000-04-24,-0.01801877502663214
2000-04-25,0.014200164360002212
2000-04-26,0.0023483199379776337
2000-04-27,0.01620498134296337
2000-04-28,0.008191621854561454
2000-05-01,0.010614641960568353
2000-05-02,-0.022048376808070768
2000-05-03,-0.0016902611242610895
2000-05-04,0.013657985823425589
2000-05-05,0.00958895237344523
2000-05-08,-0.006738018194502184
2000-05-09,-0.012472983960787758
2000-05-10,-0.015119474864102209
2000-05-11,0.016807850852808552
2000-05-12,-0.00494541266764313
2000-05-15,0.008637930265075505
2000-05-16,0.006794750571525743
2000-05-17,0.008763115640427225
2000-05-18,-0.0064643686371391494
2000-05-19,-0.01914748733006869
2000-05-22,0.005126452655884729
2000-05-23,-0.03234492999453353
2000-05-24,0.013161804386346275
2000-05-25,0.004252244710523234
2000-05-26,2.1295649316439082e-05
2000-05-30,0.016473539576498473
2000-05-31,0.0006704045476787186
2000-06-01,0.012288507462197965
2000-06-02,-0.004342852174209851
2000-06-05,-0.002191501134703531
2000-06-06,0.008740066346254667
2000-06-07,0.007108282573797076
2000-06-08,-0.004921894153833071
2000-06-09,-0.0005243488272048565
2000-06-12,-0.000890560195937546
2000-06-13,0.00931084459255928
2000-06-14,-0.011000032415542713
2000-06-15,0.0007628969705468598
2000-06-16,0.005943424966735254
2000-06-19,0.013104763334253523
2000-06-20,0.007924245101774375
2000-06-21,0.00671423454157503
2000-06-22,-0.014395214418153175
2000-06-23,-0.008236459444404546
2000-06-26,0.012525465877050107
2000-06-27,-0.025458565235018316
2000-06-28,0.00412918080103643
2000-06-29,-0.0006222994956462478
2000-06-30,-0.002661695159004162
2000-07-03,-0.014352505393956194
2000-07-05,-0.013689280802363799
2000-07-06,0.006519097545900986
2000-07-07,-0.007553786468626394
2000-07-10,-0.007009638159811531
2000-07-11,-0.007401050751928253
2000-07-12,0.002645911213191823
2000-07-13,0.0002656615093350181
2000-07-14,0.005097217372075248
2000-07-17,0.007936355495975624
2000-07-18,0.0015952645264045843
2000-07-19,-0.0044488756637504
2000-07-20,0.0085324544651374
2000-07-21,-0.007035795402769073
2000-07-24,0.0002750406569847121
2000-07-25,0.004173987274498001
2000-07-26,0.0030030619464373985
2000-07-27,-0.011552018594232764
2000-07-28,-0.0029648562842529433
2000-07-31,0.008469361735570405
2000-08-01,-0.006189257924872694
2000-08-02,-0.0004737595634678591
2000-08-03,0.0012723664239771455
2000-08-04,0.002602734554724257
2000-08-07,-0.0022739275486040244
2000-08-08,-0.005058899435341329
2000-08-09,-0.007703769173656111
2000-08-10,0.0062617627834459285
2000-08-11,-0.008309107079551115
2000-08-14,0.0037032885749350352
2000-08-15,0.0044193325810159365
2000-08-16,0.010885925110342294
2000-08-17,0.005664718886024571
2000-08-18,-0.005564006552992547
2000-08-21,0.006140972097660399
2000-08-22,0.0003496484567517026
2000-08-23,0.003295653265812273
2000-08-24,0.00032087154219462017
2000-08-25,-0.0028914397193769426
2000-08-28,0.0032127126833185896
2000-08-29,0.0035597993537039465
2000-08-30,0.00247834243875354
2000-08-31,0.009229455681513442
2000-09-01,-0.003910323266812724
2000-09-05,-0.003516481237576908
2000-09-06,-0.008270221371271647
2000-09-07,0.004472084967978834
2000-09-08,0.006834472689568046
2000-09-11,0.014152811396211322
2000-09-12,-0.0015900440891510224
2000-09-13,0.003359706621495587
2000-09-14,0.004306805094296008
2000-09-15,0.00900788186809025
2000-09-18,-0.00916056844383667
2000-09-19,0.011305022244440525
2000-09-20,0.004079998557176849
2000-09-21,-0.017616145686581645
2000-09-22,-0.0029626357222749316
2000-09-25,0.006573766953917598
2000-09-26,0.0038226526699349514
2000-09-27,-0.0037502519110507847
2000-09-28,0.002241860548680896
2000-09-29,-0.004393982178403329
2000-10-02,0.0030984290832093914
2000-10-03,-0.019259158523717415
2000-10-04,-0.005098532327523092
2000-10-05,0.008264744381553097
2000-10-06,-0.006679494788285882
2000-10-09,0.0034903837691183863
2000-10-10,-0.015308278861279535
2000-10-11,0.006346544161777467
2000-10-12,-0.0058582831345249785
2000-10-13,0.016513133950885547
2000-10-16,0.009018387501117303
2000-10-17,-0.006301130616685224
2000-10-18,-0.0014344500731300976
2000-10-19,0.005172243980530977
2000-10-20,0.015552048494386425
2000-10-23,0.0010059000151330627
2000-10-24,-0.019180187432161985
